"","X","firm_id","california","industry_segment","firm_founder_ceo","dot_com","firm_financial_crisis","time","ipo_value","total_investment"
"96",102,102,0,"Electronics and Computer Hardware",1,0,1,12.89,162197291.340103,27887942.9205192
"97",103,103,0,"Machinery and Industrial Goods",1,0,0,4.07,151245514.766627,49153519.0419735
"98",104,104,0,"Electronics and Computer Hardware",1,0,1,3,280689883.380385,39146673.1586576
"99",105,105,0,"Business Support Services",0,0,1,2.98,336251180.616063,69635565.9628983
"100",106,106,0,"Software",0,0,1,10.97,217852110.861762,26656804.3849598
"101",107,107,0,"Business Support Services",0,0,1,3,314433133.683332,28396259.8773656
"102",108,108,0,"Electronics and Computer Hardware",0,0,0,6.17,261138636.867338,80238178.4428517
"103",109,109,0,"Business Support Services",0,0,0,3.15,114292098.855257,41344997.8029928
"104",110,110,0,"Financial Institutions and Services",1,1,0,8.07,241891297.663673,28629665.6873148
"105",111,111,1,"Media and Content",1,1,1,10.85,156806010.905135,33791200.9621907
"106",112,112,1,"Business Support Services",0,1,0,5.15,720890636.020517,104982371.127268
"107",113,113,1,"Software",0,0,0,7.2,441424696.232107,27347973.8001959
"108",114,114,0,"Communications and Networking",1,1,0,6.89,11543519105.2396,292487649.554664
"109",115,115,0,"Communications and Networking",1,0,1,11.89,1067312880.37772,270495494.521679
"110",116,116,1,"Communications and Networking",0,0,0,2.97,375726859.548621,64554926.9501872
"111",117,117,1,"Business Support Services",1,1,0,1.95,161690407.505234,17979809.6466083
"112",118,118,0,"Retailers",1,0,0,4.05,444397948.774433,22442050.2430499
"113",119,119,1,"Software",1,1,1,11.05,220639785.53598,14305447.9757232
"114",120,120,1,"Semiconductors",0,0,1,13.88,101044543.264043,54502383.9021118
"115",121,121,1,"Software",0,0,1,3.02,645566639.533597,31003448.5558689
"116",122,122,1,"Consumer Information Services",0,0,0,8.99,1072686407.29549,258043568.813789
"117",123,123,0,"Software",0,0,0,4.95,313310102.232373,38573728.7350124
"118",124,124,0,"Communications and Networking",0,0,0,4.94,96037087.2165354,13597833.0030554
"119",126,126,0,"Software",0,1,1,2,247588338.618001,15807973.1427085
"120",127,127,1,"Business Support Services",0,1,0,7.84,206323730.394775,16582259.8808065
"121",128,128,1,"Communications and Networking",0,1,0,2.81,321696463.825718,74538550.0608752
"122",129,129,1,"Electronics and Computer Hardware",0,0,1,7.03,222387963.961928,14061076.4136863
"123",130,130,1,"Media and Content",1,1,0,5.08,420533625.627234,38417705.8064939
"124",131,131,1,"Communications and Networking",0,1,1,10.07,117056935.195412,22640298.5941538
"125",132,132,0,"Software",0,0,1,3.13,181308942.711588,46057860.4541391
"126",133,133,0,"Retailers",0,1,1,11,816030263.611632,85750373.5269282
"127",134,134,1,"Financial Institutions and Services",1,1,0,7.02,451385364.789499,26670482.8338314
"128",135,135,1,"Communications and Networking",1,0,0,1.87,682563417.417706,104897160.042295
"129",136,136,1,"Software",0,1,0,6.96,416015467.905737,27307829.1201701
"130",137,137,0,"Software",0,0,0,1.94,321765314.235708,35532275.1298989
"131",138,138,0,"Consumer Information Services",1,0,0,3.1,101222639.472418,19817441.663441
"132",139,139,1,"Consumer Information Services",0,0,1,11.87,636945084.344559,4343903.82231609
"133",140,140,0,"Software",0,1,0,4.17,311590692.036018,13813045.0900968
"134",141,141,0,"Wholesale Trade and Shipping",0,0,1,0.8,221144081.60128,12109235.6950605
"135",142,142,0,"Software",1,1,0,8.93,156207998.368003,19154112.452244
"136",143,143,0,"Media and Content",1,1,0,4.93,822430879.507877,102747286.270588
"137",144,144,0,"Communications and Networking",1,1,0,3.07,536441460.295193,43419056.82301
"138",145,145,1,"Consumer Information Services",0,1,0,1.03,314117287.12346,50735884.5371585
"139",146,146,1,"Financial Institutions and Services",0,0,1,4.26,255967489.438882,71687933.5060994
"140",147,147,0,"Communications and Networking",0,1,0,1.02,331448168.196364,27639238.3387807
"141",148,148,1,"Software",1,0,0,8.05,91553677.7211555,48487907.7461761
"142",149,149,1,"Software",0,1,0,2.91,272704950.145555,36480156.0190773
"143",150,150,0,"Software",1,0,1,3.24,356928842.803887,19902780.4292979
"144",151,151,1,"Semiconductors",0,0,1,2.92,306575312.212348,61467245.65966
"145",152,152,0,"Financial Institutions and Services",1,0,0,9.01,215943854.718176,44994958.1344133
"146",153,153,1,"Software",1,0,0,4.08,161063942.099383,70742211.2437584
"147",154,154,0,"Software",0,1,0,1.96,312872400.734087,32740421.3695477
"148",155,155,0,"Communications and Networking",0,0,0,3.91,154980366.636608,280967903.962413
"149",156,156,0,"Business Support Services",1,1,0,2.06,201878784.79985,53085426.7822991
"150",157,157,1,"Retailers",1,1,0,2.03,1965742748.6842,41770253.2742757
"151",158,158,0,"Consumer Information Services",1,0,0,4.14,1176281466.44476,50546082.3533929
"152",159,159,0,"Business Support Services",1,0,0,1.97,880058552.363714,147909476.599567
"153",160,160,1,"Consumer Information Services",0,0,0,3.97,163727988.161046,14589009.0735725
"154",161,161,1,"Business Support Services",1,0,0,4.16,253917000.018339,34040889.7604004
"155",162,162,1,"Software",0,1,0,3.02,423670250.696086,40953424.8628273
"156",163,163,1,"Communications and Networking",1,1,1,10.91,738132569.572763,28955594.7811288
"157",164,164,0,"Communications and Networking",0,1,1,10.85,189480561.615796,11019544.2036131
"158",165,165,1,"Consumer Information Services",1,0,0,8.11,63659346928.1192,6955802219.81396
"159",166,166,1,"Business Support Services",0,0,0,1.05,187612833.3039,55704082.6868273
"160",167,167,1,"Retailers",1,0,0,3.18,101566874.341479,17018354.5670587
"161",168,168,1,"Financial Institutions and Services",0,0,0,9.08,394737679.610532,115869138.976329
"162",169,169,1,"Communications and Networking",0,0,0,6.09,1715518149.63521,61948317.0867168
"163",170,170,1,"Business Support Services",0,0,0,4.08,226566260.286011,55339251.1263092
"164",171,171,0,"Software",0,0,0,3.04,190414531.821304,16326922.657416
"165",172,172,1,"Materials and Chemicals",1,0,0,9.02,182733067.79187,118293809.647347
"166",173,173,1,"Business Support Services",0,1,0,1.23,414246597.252235,22917354.0430767
"167",174,174,0,"Communications and Networking",1,1,0,4.93,646760749.701415,33738966.3881626
"168",175,175,1,"Retailers",0,1,0,2.01,412646560.988006,34942066.3194015
"169",176,176,0,"Communications and Networking",0,0,0,5.07,183658571.103274,5000002.64800883
"170",177,177,1,"Semiconductors",1,0,1,7.09,418049330.886284,55717564.706096
"171",178,178,1,"Semiconductors",1,0,0,9.12,747873945.740449,70221353.2434052
"172",179,179,1,"Communications and Networking",1,1,0,9.97,1294195366.01203,25989781.5129251
"173",180,180,0,"Business Support Services",1,1,0,6.1,1833332159.05305,29605478.8958924
"174",181,181,1,"Communications and Networking",0,1,0,3.19,544861940.307635,40062568.4009616
"175",182,182,1,"Semiconductors",0,0,0,4.01,318188330.589198,6442517.90045535
"176",183,183,0,"Retailers",1,1,0,1.89,172637918.064945,41125585.334242
"177",184,184,0,"Retailers",1,0,0,3.12,407988685.35057,137872099.755711
"178",185,185,1,"Consumer Information Services",0,0,0,1.95,551308995.326806,36029298.0442824
"179",186,186,1,"Business Support Services",0,1,0,1.99,603811728.785805,88572501.4482378
"180",187,187,0,"Business Support Services",1,0,0,1.08,129153477.08689,39257929.2147519
"181",188,188,0,"Communications and Networking",0,0,0,3.98,838443705.64751,298930600.780046
"182",189,189,1,"Consumer Information Services",0,0,1,2.82,251284419.251305,42313510.9153828
"183",190,190,0,"Communications and Networking",1,1,1,10.05,663329229.292942,20531708.3930078
"184",191,191,0,"Retailers",1,0,0,1.99,119456996.183999,25978478.4165686
"185",192,192,1,"Financial Institutions and Services",1,0,0,9.03,1167918568.29914,32075401.9514724
"186",193,193,1,"Communications and Networking",1,1,0,6.84,216429193.260689,41603214.754578
"187",194,194,1,"Electronics and Computer Hardware",1,1,0,4.95,2378067452.41536,23914606.9578962
"188",195,195,1,"Communications and Networking",0,0,1,15.11,120506951.737672,19651141.7712772
"189",197,197,1,"Software",0,1,0,2.78,395719822.551555,47743190.1470929
"190",198,198,0,"Communications and Networking",0,1,0,5.19,576863945.322583,25822067.1446
"191",199,199,0,"Financial Institutions and Services",0,0,0,6.97,486238109.924242,63505495.2824713
"192",200,200,0,"Semiconductors",0,0,1,5.01,368407787.194246,12221252.4711123
"193",201,201,0,"Travel and Leisure",1,0,0,4.9,1540255270.96177,344856863.32763
"194",202,202,0,"Retailers",1,1,0,1,1304717005.26274,142507045.705777
"195",203,203,0,"Business Support Services",1,1,0,1.96,208007771.510736,13642616.2613003
"196",204,204,0,"Business Support Services",0,0,1,6.12,317260893.105738,14189885.7832166
"197",205,205,0,"Business Support Services",1,0,0,5.04,521368685.936001,63474004.3672039
"198",206,206,1,"Communications and Networking",0,0,0,6.04,197381507.454425,28047666.6194381
"199",207,207,0,"Consumer Information Services",1,1,0,3.95,330910664.121926,29350495.8947928
"200",208,208,1,"Communications and Networking",0,1,0,2.14,479366500.715469,90464584.4467804
"201",209,209,0,"Retailers",1,1,0,4.12,210534269.855548,11774267.6428947
"202",210,210,1,"Software",1,0,1,12.9,117449850.947917,4560240.85876385
"203",211,211,0,"Retailers",0,1,0,5.09,116214827.789177,32420386.6344136
"204",212,212,1,"Software",1,1,0,5.02,208850031.55568,9766619.93016109
"205",213,213,1,"Software",1,0,0,7.94,281473538.683134,37945823.3843127
"206",214,214,0,"Software",0,0,0,3.02,235878169.791399,35606437.2106474
"207",215,215,1,"Media and Content",0,1,0,6.03,262976964.801487,68416733.8772694
"208",216,216,0,"Media and Content",0,0,0,1.73,146192674.791589,16971194.0985489
"209",217,217,1,"Communications and Networking",1,0,1,2.89,815520404.044586,258289859.840577
"210",218,218,1,"Communications and Networking",0,0,0,5.94,549327301.81522,58422929.5487982
"211",219,219,1,"Consumer Information Services",0,0,0,4.02,272552005.573487,22448334.8969284
"212",220,220,1,"Software",0,0,0,5.99,348598016.105547,23183607.1842362
"213",221,221,1,"Semiconductors",0,0,0,9.04,236689331.110036,58358991.4534381
"214",222,222,0,"Communications and Networking",1,0,0,3.97,569470192.665142,71794828.1437522
"215",223,223,1,"Financial Institutions and Services",0,1,1,11.03,530546412.282421,73944398.7125393
"216",224,224,0,"Business Support Services",1,1,0,1.88,543226544.546355,32459931.1832266
"217",225,225,1,"Semiconductors",1,0,0,8.03,319414758.618756,53933318.5598868
"218",226,226,0,"Software",0,0,0,7.04,432948352.256878,76564570.3772698
"219",227,227,0,"Communications and Networking",0,0,1,4.01,520330632.908373,126173689.024512
"220",228,228,1,"Business Support Services",1,1,0,2.81,249109969.123586,26043401.6892346
"221",229,229,0,"Electronics and Computer Hardware",1,0,1,4.95,455159743.538767,29542604.5069172
"222",230,230,0,"Electronics and Computer Hardware",0,0,1,3.91,613184851.104469,55327852.4146847
"223",231,231,0,"Software",0,0,0,9.06,309864914.253593,7879302.95157913
"224",232,232,0,"Media and Content",1,1,0,8.01,469154173.2484,89882695.9657396
"225",233,233,1,"Software",0,0,0,2.17,234699140.806825,25518060.134161
"226",234,234,1,"Software",0,0,0,7.23,570432270.115288,37729581.5034062
"227",235,235,1,"Communications and Networking",0,1,1,11.16,1529479013.02526,78832980.3793042
"228",236,236,0,"Media and Content",1,0,1,1.97,390680637.377926,34312524.7999165
"229",237,237,0,"Travel and Leisure",1,0,0,1.99,621047421.434026,154069907.163924
"230",239,239,0,"Business Support Services",0,1,0,4.03,638609043.760808,22586117.3737447
"231",240,240,1,"Communications and Networking",1,1,0,5.05,201439168.404959,17322174.4702603
"232",241,241,1,"Consumer Information Services",1,1,0,3.1,256262277.63729,22026239.3863219
"233",242,242,1,"Semiconductors",1,0,1,6.03,328616179.490045,12698837.3500759
"234",243,243,1,"Financial Institutions and Services",1,0,0,4.92,3735542901.04388,268213268.500863
"235",244,244,0,"Financial Institutions and Services",1,1,1,1.95,214246547.294338,51017384.237068
"236",245,245,1,"Electronics and Computer Hardware",1,1,0,6.93,406894298.161676,58270469.709414
"237",246,246,0,"Business Support Services",1,0,0,4.04,553640988.805923,232876772.910665
"238",247,247,0,"Business Support Services",1,1,0,1.87,231587655.200637,33045501.3993332
"239",248,248,1,"Consumer Information Services",0,0,0,6.11,3151952692.1697,69248704.8271652
"240",249,249,1,"Software",1,1,0,8.94,250956957.919791,25783440.4293945
"241",250,250,0,"Business Support Services",1,0,1,4.07,198921135.476234,24794365.803947
"242",251,251,0,"Business Support Services",1,1,1,10.1,231152679.414214,34539909.1363354
"243",252,252,0,"Software",1,0,1,1.1,257340585.263593,21379006.63214
"244",253,253,0,"Business Support Services",1,1,0,0.94,260220264.113128,12575549.8670995
"245",254,254,1,"Consumer Information Services",1,1,1,9.97,1007195930.22081,57945472.6737426
"246",255,255,1,"Business Support Services",1,0,0,7.93,367291364.588384,117349708.941697
"247",256,256,1,"Software",1,0,1,7.82,345199131.072785,89441469.7464079
"248",257,257,0,"Business Support Services",1,1,0,2,183653061.428786,44542796.3181735
"249",258,258,0,"Semiconductors",1,1,0,0.91,224597843.790018,20999475.0971186
"250",259,259,1,"Software",1,1,0,6.17,433700603.361434,16645259.1814583
"251",260,260,0,"Financial Institutions and Services",1,0,1,6.2,296878344.982744,64579914.541704
"252",261,261,0,"Business Support Services",0,0,1,7.02,126219877.046587,22389977.8658181
"253",262,262,1,"Materials and Chemicals",0,0,0,2.01,148019562.196921,42271260.8254121
"254",263,263,0,"Retailers",1,1,1,10.79,735606583.138626,21053428.9433982
"255",264,264,0,"Software",0,0,0,2.96,167125569.331271,69874406.8029303
"256",265,265,1,"Semiconductors",1,0,0,9.88,320354899.454571,25319439.0355311
"257",266,266,0,"Media and Content",1,0,1,13.91,44686187.1712078,3171423.18702232
"258",267,267,1,"Semiconductors",1,0,1,4.06,391957118.42576,71702989.5529652
"259",268,268,1,"Communications and Networking",0,0,0,5.03,209047697.166625,124913867.780354
"260",270,270,0,"Software",1,1,0,8.12,533072502.45535,12453907.6612237
"261",271,271,0,"Communications and Networking",0,1,0,3.05,296691667.220061,122453386.847005
"262",272,272,0,"Communications and Networking",1,0,1,3.04,5745621939.98267,1619886626.3384
"263",273,273,1,"Software",0,0,0,9.16,153899446.144275,20979430.1713763
"264",274,274,0,"Semiconductors",1,1,1,9.97,591989229.931788,33808844.5736749
"265",275,275,1,"Business Support Services",1,0,0,4,387216296.287341,88313363.8409783
"266",276,276,0,"Software",0,1,0,1.26,244219996.002327,11372298.4989821
"267",277,277,1,"Semiconductors",0,0,0,4.06,343459926.320972,9563085.65300273
"268",278,278,0,"Software",0,0,0,10.04,250474330.453768,10489727.4694329
"269",279,279,1,"Business Support Services",1,0,0,5.89,244585867.122548,33672161.981817
"270",280,280,1,"Semiconductors",1,0,1,5.98,216220439.828923,23484636.5150586
"271",281,281,0,"Financial Institutions and Services",1,1,0,2.06,410121083.634371,74273441.7778762
"272",282,282,0,"Retailers",0,1,0,1.85,181901520.05582,51921680.6589041
"273",283,283,0,"Software",1,0,0,1.98,217669409.594648,36395802.1351863
"274",284,284,0,"Financial Institutions and Services",1,1,0,4.14,248935653.162904,47003376.6165935
"275",285,285,1,"Business Support Services",1,1,0,3.05,196217834.390771,21010586.7582202
"276",286,286,1,"Communications and Networking",0,0,0,8.95,175377964.496203,182305425.392738
"277",287,287,0,"Software",0,1,0,2.21,333355484.643221,32649072.3063085
"278",288,288,0,"Business Support Services",1,1,0,1.98,593496574.319579,43514118.2120211
"279",289,289,1,"Business Support Services",0,1,0,3.14,376182140.392446,55259177.8777012
"280",290,290,0,"Electronics and Computer Hardware",1,0,1,2.03,524833695.553878,56312213.1824254
"281",291,291,1,"Consumer Information Services",0,0,1,7.93,374557916.812866,96281235.1956792
"282",292,292,1,"Communications and Networking",1,0,1,7.1,361712407.636003,51166163.3772605
"283",293,293,1,"Software",1,0,0,1.97,134791271.114183,15466284.20349
"284",294,294,1,"Software",1,1,0,7.96,160103493.745613,9745663.74555088
"285",295,295,1,"Semiconductors",0,0,1,6.04,171817426.984838,77548336.7574784
"286",296,296,1,"Software",1,1,0,2.16,293198672.400217,75449264.8807913
"287",297,297,0,"Electronics and Computer Hardware",1,1,0,5.9,1015562009.35418,69711858.6702618
"288",298,298,1,"Communications and Networking",1,1,0,4.84,335170528.308689,67577388.8099044
"289",299,299,0,"Software",1,1,1,10.01,266957225.657338,42899211.3380146
"290",300,300,1,"Communications and Networking",0,0,0,3,1027937289.822,69614887.2707451
"291",301,301,0,"Financial Institutions and Services",0,0,0,4.12,671432468.003675,4222470.7480397
"292",302,302,1,"Business Support Services",0,0,1,2.02,1168936268.51623,65650186.5307513
"293",303,303,0,"Communications and Networking",1,1,0,2.93,457684207.048429,12818051.3868714
"294",305,305,0,"Communications and Networking",0,1,1,10.1,533636791.619278,31738436.1115242
"295",306,306,0,"Communications and Networking",0,0,1,3.06,317290717.031393,27633047.8427543
"296",307,307,0,"Software",1,0,0,5.15,117615924.890916,10296844.0156469
"297",308,308,1,"Communications and Networking",0,1,0,3.85,1026095849.60583,40707503.7198307
"298",309,309,1,"Business Support Services",1,1,0,2.04,109477762.017743,13446360.0616593
"299",310,310,1,"Financial Institutions and Services",1,1,0,2.9,897717510.054417,47541900.6921236
"300",311,311,0,"Software",1,1,0,1.01,127162709.298948,2151842.47879764
"301",312,312,1,"Communications and Networking",1,1,0,1.02,2552515039.36641,63214799.4363091
"302",313,313,1,"Software",1,1,1,14.91,462990456.718968,60094266.7632017
"303",314,314,1,"Semiconductors",1,1,1,11.92,378119560.049522,18077398.2414741
"304",315,315,0,"Retailers",0,0,0,3.07,49089906.4328686,41484648.454259
"305",316,316,0,"Communications and Networking",1,0,0,3.09,626834432.043653,40340924.1802059
"306",317,317,0,"Software",1,0,1,4.06,245909711.474624,50030030.8452862
"307",318,318,1,"Software",1,1,0,2.06,505281875.081617,30359407.6672503
"308",319,319,1,"Communications and Networking",0,1,0,2.84,2965202014.12215,121976260.780834
"309",320,320,1,"Communications and Networking",0,0,0,2.8,149789420.142327,58844739.5353118
"310",321,321,1,"Travel and Leisure",0,0,1,1.13,316437402.633967,61161226.9415294
"311",322,322,0,"Software",1,1,1,8.83,206579937.087566,6119004.63548278
"312",323,323,0,"Software",0,0,0,9.09,35142085.9468954,4220988.92088301
"313",324,324,0,"Software",1,1,0,2.14,506155756.978267,2582209.53679811
"314",326,326,0,"Food and Beverage",0,1,0,5.94,138447257.667536,293284885.482605
"315",327,327,1,"Communications and Networking",0,1,0,10.06,367171647.118537,17476977.476557
"316",328,328,1,"Software",0,0,0,6.89,2081178173.77831,42593149.991987
"317",329,329,1,"Consumer Information Services",0,0,0,6.89,1961909361.44192,81073847.9196538
"318",330,330,0,"Agriculture and Forestry",1,1,0,4.89,155283339.04891,22180254.186774
"319",331,331,1,"Financial Institutions and Services",1,0,0,1.77,674276619.926185,183098350.34148
"320",332,332,1,"Software",1,0,1,9.08,214621592.386884,7295862.75815874
"321",333,333,0,"Retailers",1,0,0,4.88,294219310.117771,15424951.7544434
"322",334,334,1,"Business Support Services",1,1,0,1.19,1030847380.01471,98002838.4508905
"323",335,335,0,"Software",0,0,0,4.99,258711215.623789,11728261.500858
"324",336,336,0,"Software",0,0,1,11.87,144521956.200738,3866537.64817305
"325",338,338,1,"Communications and Networking",1,0,0,1.89,204166623.441516,8503071.42237145
"326",339,339,1,"Software",0,0,0,3.94,251067403.277473,31485258.1810502
"327",341,341,0,"Software",1,0,0,2.1,643199179.387291,43932766.9763671
"328",342,342,1,"Semiconductors",0,0,1,13.03,88638246.6327593,23556915.803316
"329",343,343,1,"Software",1,1,0,2.98,332643864.609361,41705601.2378832
"330",344,344,1,"Retailers",0,0,0,3.08,134792888.619141,29064382.1103152
"331",345,345,0,"Consumer Information Services",0,1,1,11.02,1917543928.11626,40773095.5881052
"332",346,346,0,"Food and Beverage",0,0,0,8.01,159231870.034755,62027165.4829999
"333",347,347,0,"Software",0,1,0,6.12,152426946.516542,20830253.8518169
