"","carat","cut","color","clarity","depth","table","price","x","y","z","clarity_level"
"259",1.25,"Premium","F","I1",58,59,3724,7.12,7.05,4.11,"low"
"260",0.7,"Very Good","G","IF",63,59,3725,5.58,5.62,3.53,"high"
"261",1.21,"Good","E","I1",63.3,63,3726,6.67,6.72,4.24,"low"
"262",1.13,"Ideal","E","I1",62,55,3729,6.66,6.7,4.14,"low"
"263",1.19,"Ideal","H","I1",61.5,57,3732,6.83,6.79,4.19,"low"
"264",1.27,"Premium","I","I1",60.2,62,3732,7.05,7,4.23,"low"
"265",0.9,"Good","I","IF",63.7,64,3734,6.02,6.07,3.85,"high"
"266",1.51,"Fair","F","I1",67.8,59,3734,7.09,7,4.78,"low"
"267",1.51,"Fair","F","I1",67.5,56,3734,7.17,7.05,4.8,"low"
"268",0.71,"Ideal","G","IF",60.9,57,3739,5.74,5.79,3.51,"high"
"269",1.13,"Ideal","H","I1",62.2,55,3745,6.69,6.65,4.15,"low"
"270",1.1,"Premium","F","I1",59.8,61,3745,6.7,6.65,3.99,"low"
"271",1.1,"Ideal","F","I1",61.8,56,3745,6.65,6.61,4.1,"low"
"272",1.52,"Fair","I","I1",67.7,58,3745,7.07,7,4.76,"low"
"273",1.13,"Premium","G","I1",61.2,58,3746,6.77,6.66,4.11,"low"
"274",0.63,"Ideal","F","IF",60.9,57,3749,5.53,5.57,3.38,"high"
"275",1.14,"Ideal","F","I1",61.7,57,3755,6.67,6.7,4.13,"low"
"276",0.74,"Ideal","H","IF",60.9,57,3760,5.83,5.85,3.56,"high"
"277",1.2,"Ideal","H","I1",58.6,57,3763,7.01,6.96,4.09,"low"
"278",1.51,"Fair","H","I1",65.6,61,3765,7.16,7,4.66,"low"
"279",1.02,"Premium","D","I1",61.4,60,3769,6.42,6.47,3.96,"low"
"280",0.71,"Ideal","G","IF",61.8,57,3772,5.7,5.75,3.54,"high"
"281",1.29,"Very Good","F","I1",58.2,61,3774,7.11,7.15,4.15,"low"
"282",0.8,"Ideal","H","IF",61.1,56,3774,6.02,5.96,3.66,"high"
"283",1.5,"Premium","D","I1",62.4,60,3780,7.37,7.19,4.54,"low"
"284",0.73,"Ideal","H","IF",62.3,55,3785,5.77,5.79,3.6,"high"
"285",1.19,"Ideal","H","I1",60.3,57,3794,6.83,6.93,4.15,"low"
"286",1.21,"Very Good","E","I1",63.3,63,3795,6.72,6.67,4.24,"low"
"287",1.13,"Ideal","E","I1",62,55,3797,6.7,6.66,4.14,"low"
"288",0.53,"Ideal","D","IF",62.2,55,3812,5.17,5.19,3.22,"high"
"289",1.18,"Very Good","D","I1",61.5,62,3816,6.73,6.88,4.19,"low"
"290",1.52,"Premium","G","I1",61.7,58,3820,7.43,7.34,4.56,"low"
"291",1.14,"Ideal","F","I1",61.7,57,3824,6.7,6.67,4.13,"low"
"292",0.53,"Very Good","D","IF",59.8,60,3827,5.22,5.28,3.14,"high"
"293",0.63,"Ideal","D","IF",61.2,53,3832,5.55,5.6,3.41,"high"
"294",1.23,"Very Good","H","I1",61.9,60.6,3835,6.79,6.85,4.22,"low"
"295",1.02,"Premium","D","I1",61.4,60,3838,6.47,6.42,3.96,"low"
"296",1.19,"Ideal","H","I1",60.3,57,3864,6.93,6.83,4.15,"low"
"297",1.5,"Good","F","I1",63.7,59,3864,7.29,7.18,4.62,"low"
"298",1.2,"Premium","E","I1",62.3,60,3871,6.78,6.71,4.2,"low"
"299",1.1,"Ideal","E","I1",61.9,56,3872,6.59,6.63,4.09,"low"
"300",1.12,"Ideal","G","I1",60.3,57,3874,6.73,6.8,4.08,"low"
"301",0.73,"Ideal","F","IF",61.2,55,3880,5.86,5.8,3.57,"high"
"302",1.18,"Ideal","D","I1",61.5,62,3886,6.88,6.73,4.19,"low"
"303",0.7,"Very Good","F","IF",61.5,58,3887,5.65,5.7,3.49,"high"
"304",1.18,"Very Good","E","I1",62.5,58,3894,6.62,6.75,4.18,"low"
"305",1.29,"Premium","E","I1",58.6,60,3901,7.18,7.12,4.19,"low"
"306",1.23,"Ideal","H","I1",61.9,61,3905,6.85,6.79,4.22,"low"
"307",1.39,"Very Good","I","I1",62.6,57,3914,7.1,7.15,4.46,"low"
"308",1.02,"Ideal","H","I1",62.1,56,3915,6.4,6.45,3.99,"low"
"309",1.12,"Premium","E","I1",61,59,3942,6.7,6.74,4.1,"low"
"310",1.1,"Ideal","E","I1",61.9,56,3942,6.63,6.59,4.09,"low"
"311",1.12,"Ideal","G","I1",60.3,57,3945,6.8,6.73,4.08,"low"
"312",0.7,"Ideal","G","IF",61.3,56,3949,5.72,5.73,3.51,"high"
"313",1.14,"Premium","D","I1",61.8,59,3950,6.62,6.74,4.13,"low"
"314",0.72,"Premium","E","IF",61.3,60,3951,5.74,5.71,3.51,"high"
"315",1.18,"Very Good","E","I1",63.3,57,3965,6.7,6.64,4.22,"low"
"316",1.18,"Premium","E","I1",62.5,58,3965,6.75,6.62,4.18,"low"
"317",0.8,"Ideal","H","IF",62.4,54,3972,5.93,5.99,3.72,"high"
"318",1.23,"Good","D","I1",63.7,58,3977,6.72,6.79,4.3,"low"
"319",1.17,"Premium","F","I1",62.2,58,3984,6.76,6.72,4.19,"low"
"320",1.39,"Premium","I","I1",62.6,57,3985,7.15,7.1,4.46,"low"
"321",1.02,"Ideal","H","I1",62.1,56,3987,6.45,6.4,3.99,"low"
"322",0.71,"Ideal","H","IF",61.2,56,4007,5.76,5.86,3.54,"high"
"323",1.12,"Premium","E","I1",61,59,4014,6.74,6.7,4.1,"low"
"324",1.14,"Premium","D","I1",61.8,59,4022,6.74,6.62,4.13,"low"
"325",1.5,"Premium","H","I1",62.9,60,4022,7.31,7.22,4.57,"low"
"326",1.5,"Good","H","I1",64,56,4022,7.18,7.05,4.56,"low"
"327",1.23,"Ideal","H","I1",61.8,56,4025,6.85,6.91,4.25,"low"
"328",0.56,"Very Good","D","IF",62.5,59,4025,5.26,5.3,3.3,"high"
"329",0.57,"Very Good","D","IF",61.3,57,4032,5.33,5.41,3.29,"high"
"330",1.5,"Premium","E","I1",61.5,58,4032,7.38,7.2,4.5,"low"
"331",0.25,"Premium","F","IF",61.1,58,576,4.08,4.1,2.5,"high"
