"","ID","Gender","Offer","Advisor","Time","Major","Coursera"
"145",145,1,0,28,106,"STEM",5
"146",146,1,0,52,187,"not-STEM",43
"147",147,1,1,37,110,"STEM",58
"148",148,1,1,36,91,"not-STEM",66
"149",149,1,1,23,137,"STEM",29
"150",150,1,1,26,111,"not-STEM",62
"151",151,1,1,51,122,"STEM",48
"152",152,1,0,35,80,"not-STEM",77
"153",153,1,0,43,142,"STEM",16
"154",154,1,1,38,127,"not-STEM",23
"155",155,1,1,22,168,"STEM",64
"156",156,1,1,31,80,"not-STEM",52
"157",157,1,1,31,148,"STEM",63
"158",158,1,0,38,122,"not-STEM",NA
"159",159,1,1,13,92,"STEM",57
"160",160,1,1,42,80,"not-STEM",67
"161",161,1,1,23,102,"STEM",89
"162",162,1,1,26,110,"not-STEM",36
"163",163,1,1,27,129,"STEM",NA
"164",164,1,1,11,85,"not-STEM",30
"165",165,1,1,22,137,"STEM",37
"166",166,1,0,28,147,"not-STEM",NA
"167",167,1,1,21,103,"STEM",45
"168",168,1,1,32,128,"not-STEM",46
"169",169,1,1,33,84,"STEM",48
"170",170,1,0,37,75,"not-STEM",73
"171",171,1,1,28,137,"STEM",30
"172",172,1,1,32,180,"not-STEM",NA
"173",173,1,1,43,138,"STEM",NA
"174",174,1,0,23,54,"not-STEM",NA
"175",175,1,1,34,136,"STEM",60
"176",176,1,1,32,67,"not-STEM",NA
"177",177,1,0,21,114,"STEM",53
"178",178,1,1,59,155,"not-STEM",75
"179",179,1,1,32,89,"STEM",35
"180",180,1,0,23,141,"not-STEM",NA
"181",181,1,0,16,109,"STEM",85
"182",182,1,1,25,142,"not-STEM",58
"183",183,1,0,26,121,"STEM",64
"184",184,1,0,17,108,"not-STEM",99
"185",185,1,1,29,132,"STEM",44
"186",186,1,1,40,116,"not-STEM",42
"187",187,1,1,22,75,"STEM",NA
"188",188,1,0,32,130,"not-STEM",23
"189",189,1,1,34,131,"STEM",NA
"190",190,1,1,37,110,"not-STEM",NA
"191",191,2,1,28,69,"STEM",42
"192",192,2,1,36,70,"not-STEM",57
"193",193,2,1,23,116,"STEM",65
"194",194,2,1,28,81,"not-STEM",61
"195",195,2,1,35,131,"STEM",NA
"196",196,2,1,27,33,"not-STEM",21
"197",197,2,1,28,143,"STEM",70
"198",198,2,0,36,91,"not-STEM",NA
"199",199,2,1,38,106,"STEM",56
"200",200,2,1,36,65,"not-STEM",49
"201",201,2,1,14,138,"STEM",43
"202",202,2,1,42,136,"not-STEM",47
"203",203,2,1,31,91,"STEM",82
"204",204,2,1,30,124,"not-STEM",56
"205",205,2,0,27,86,"STEM",46
"206",206,2,0,44,119,"not-STEM",53
"207",207,2,0,29,74,"STEM",71
"208",208,2,1,31,78,"not-STEM",25
"209",209,2,1,7,96,"STEM",42
"210",210,2,1,27,117,"not-STEM",7
"211",211,2,1,24,83,"STEM",20
"212",212,2,1,28,120,"not-STEM",35
"213",213,2,1,35,128,"STEM",37
"214",214,2,0,31,66,"not-STEM",NA
"215",215,2,0,30,90,"STEM",40
"216",216,2,1,19,110,"not-STEM",44
"217",217,2,1,36,143,"STEM",68
"218",218,2,1,36,142,"not-STEM",56
"219",219,2,1,27,90,"STEM",35
"220",220,2,1,32,86,"not-STEM",56
"221",221,2,1,18,124,"STEM",NA
"222",222,2,1,33,110,"not-STEM",89
"223",223,2,0,16,87,"STEM",28
"224",224,2,0,25,125,"not-STEM",50
"225",225,2,1,33,136,"STEM",80
"226",226,2,1,18,112,"not-STEM",43
"227",227,2,1,39,120,"STEM",47
"228",228,2,1,37,99,"not-STEM",20
"229",229,2,1,21,99,"STEM",49
"230",230,2,1,31,69,"not-STEM",NA
"231",231,2,1,25,131,"STEM",61
"232",232,2,0,34,146,"not-STEM",NA
"233",233,2,1,29,121,"STEM",49
"234",234,2,1,23,126,"not-STEM",NA
"235",235,2,0,39,145,"STEM",16
"236",236,2,0,NA,20,"not-STEM",NA
"237",237,2,1,25,137,"STEM",75
"238",238,2,1,21,87,"not-STEM",NA
"239",239,2,1,21,125,"STEM",58
"240",240,2,0,41,76,"not-STEM",NA
"241",241,2,0,37,134,"STEM",44
"242",242,2,1,38,121,"not-STEM",40
"243",243,2,1,20,129,"STEM",59
"244",244,2,1,33,100,"not-STEM",NA
"245",245,2,1,29,106,"STEM",40
"246",246,2,0,42,72,"not-STEM",NA
"247",247,2,1,24,126,"STEM",64
"248",248,2,1,26,73,"not-STEM",41
"249",249,2,0,22,126,"STEM",34
"250",250,2,1,28,116,"not-STEM",NA
"251",251,2,1,47,106,"STEM",49
"252",252,2,1,12,80,"not-STEM",52
"253",253,2,1,33,97,"STEM",69
"254",254,2,0,23,75,"not-STEM",NA
"255",255,2,1,19,81,"STEM",NA
"256",256,2,0,27,111,"not-STEM",47
"257",257,2,1,46,159,"STEM",25
"258",258,2,0,16,104,"not-STEM",47
"259",259,2,1,37,110,"STEM",81
"260",260,2,1,48,111,"not-STEM",1
"261",261,2,1,26,92,"STEM",60
"262",262,2,1,NA,71,"not-STEM",32
"263",263,2,1,28,113,"STEM",58
"264",264,2,0,2,90,"not-STEM",77
"265",265,2,1,26,154,"STEM",8
"266",266,2,1,26,138,"not-STEM",48
"267",267,2,1,35,131,"STEM",24
"268",268,2,1,10,86,"not-STEM",11
"269",269,2,1,44,119,"STEM",46
"270",270,2,1,33,51,"not-STEM",NA
"271",271,2,0,24,100,"STEM",37
"272",272,2,1,31,130,"not-STEM",32
"273",273,2,1,18,156,"STEM",94
"274",274,2,0,44,77,"not-STEM",54
"275",275,2,1,44,123,"STEM",26
"276",276,2,1,26,69,"not-STEM",47
"277",277,2,1,31,94,"STEM",54
"278",278,2,0,30,44,"not-STEM",29
"279",279,2,1,45,140,"STEM",49
"280",280,2,0,14,146,"not-STEM",37
"281",281,2,0,22,74,"STEM",48
"282",282,2,0,38,66,"not-STEM",62
"283",283,2,1,21,120,"STEM",25
"284",284,2,1,33,113,"not-STEM",48
"285",285,2,1,25,103,"STEM",19
"286",286,2,1,33,70,"not-STEM",NA
"287",287,2,0,35,101,"STEM",NA
"288",288,2,1,37,56,"not-STEM",56
"289",289,2,1,44,120,"STEM",NA
"290",290,2,1,28,112,"not-STEM",22
"291",291,2,0,36,157,"STEM",NA
"292",292,2,0,22,107,"not-STEM",60
"293",293,2,0,32,90,"STEM",82
"294",294,2,0,32,69,"not-STEM",NA
"295",295,2,0,32,145,"STEM",104
"296",296,2,0,19,62,"not-STEM",NA
"297",297,2,1,23,130,"STEM",76
"298",298,2,1,27,95,"not-STEM",49
"299",299,2,1,26,129,"STEM",NA
"300",300,2,0,53,94,"not-STEM",69
"301",301,2,1,45,107,"STEM",NA
"302",302,2,1,51,141,"not-STEM",43
"303",303,2,1,31,112,"STEM",70
"304",304,2,1,40,95,"not-STEM",11
"305",305,2,1,26,132,"STEM",NA
"306",306,2,1,45,75,"not-STEM",49
"307",307,2,1,19,137,"STEM",78
"308",308,2,0,20,130,"not-STEM",NA
"309",309,2,0,18,104,"STEM",40
"310",310,2,1,28,53,"not-STEM",33
"311",311,2,1,41,96,"STEM",46
"312",312,2,1,33,149,"not-STEM",56
"313",313,2,1,23,91,"STEM",39
"314",314,2,0,28,88,"not-STEM",56
"315",315,2,1,17,137,"STEM",56
"316",316,2,1,26,137,"not-STEM",79
"317",317,2,1,49,119,"STEM",NA
"318",318,2,0,21,135,"not-STEM",50
"319",319,2,1,23,115,"STEM",25
"320",320,2,1,27,176,"not-STEM",39
"321",321,2,1,32,88,"STEM",NA
"322",322,2,1,16,90,"not-STEM",77
"323",323,2,1,36,124,"STEM",19
"324",324,2,0,18,143,"not-STEM",74
"325",325,2,1,46,67,"STEM",65
"326",326,2,1,26,68,"not-STEM",55
"327",327,2,1,32,97,"STEM",14
"328",328,2,1,50,103,"not-STEM",47
"329",329,2,1,6,97,"STEM",33
"330",330,2,1,31,165,"not-STEM",55
"331",331,2,1,37,118,"STEM",39
"332",332,2,1,11,119,"not-STEM",48
"333",333,2,0,29,69,"STEM",NA
"334",334,2,1,39,69,"not-STEM",56
"335",335,2,0,31,95,"STEM",75
"336",336,2,1,39,54,"not-STEM",53
"337",337,2,1,20,55,"STEM",44
"338",338,2,1,2,192,"not-STEM",13
"339",339,2,1,46,143,"STEM",36
"340",340,2,1,51,147,"not-STEM",78
"341",341,2,0,42,98,"STEM",61
"342",342,2,1,47,70,"not-STEM",69
"343",343,2,1,13,87,"STEM",NA
"344",344,2,0,16,156,"not-STEM",NA
"345",345,2,0,30,113,"STEM",64
"346",346,2,1,45,78,"not-STEM",NA
"347",347,2,1,54,71,"STEM",NA
"348",348,2,1,33,146,"not-STEM",29
"349",349,2,0,39,65,"STEM",NA
"350",350,2,0,31,100,"not-STEM",NA
"351",351,2,0,32,165,"STEM",30
"352",352,2,0,19,168,"not-STEM",83
"353",353,2,1,45,93,"STEM",84
"354",354,2,0,30,72,"not-STEM",60
"355",355,2,1,37,52,"STEM",52
"356",356,2,1,33,77,"not-STEM",37
"357",357,2,1,30,82,"STEM",23
"358",358,2,1,36,158,"not-STEM",NA
"359",359,2,1,37,155,"STEM",NA
"360",360,2,1,32,38,"not-STEM",NA
"361",361,2,0,18,122,"STEM",63
"362",362,2,1,59,138,"not-STEM",NA
"363",363,2,1,27,148,"STEM",NA
"364",364,2,1,22,97,"not-STEM",53
"365",365,2,0,37,115,"STEM",41
"366",366,2,1,26,122,"not-STEM",25
"367",367,2,1,23,100,"STEM",10
"368",368,2,1,46,129,"not-STEM",47
"369",369,2,1,28,60,"STEM",45
"370",370,2,1,41,129,"not-STEM",76
"371",371,2,1,41,119,"STEM",NA
"372",372,2,0,34,126,"not-STEM",32
"373",373,2,1,34,114,"STEM",58
"374",374,2,0,28,170,"not-STEM",NA
"375",375,2,0,13,105,"STEM",96
"376",376,2,0,15,111,"not-STEM",72
"377",377,2,1,14,153,"STEM",NA
"378",378,2,1,18,70,"not-STEM",63
"379",379,2,1,28,166,"STEM",42
"380",380,2,1,31,108,"not-STEM",36
"381",381,3,1,4,115,"STEM",93
"382",382,3,1,26,126,"not-STEM",34
"383",383,3,1,22,77,"STEM",28
"384",384,3,0,34,79,"not-STEM",NA
"385",385,3,0,23,105,"STEM",71
"386",386,3,1,49,123,"not-STEM",50
"387",387,3,1,35,154,"STEM",52
"388",388,3,0,39,102,"not-STEM",46
"389",389,3,1,39,121,"STEM",61
"390",390,3,0,34,89,"not-STEM",35
"391",391,3,0,23,149,"STEM",54
"392",392,3,1,33,128,"not-STEM",98
"393",393,3,1,32,103,"STEM",49
"394",394,3,0,30,118,"not-STEM",81
"395",395,3,1,36,99,"STEM",24
"396",396,3,1,22,148,"not-STEM",46
"397",397,3,1,43,72,"STEM",11
"398",398,3,0,43,117,"not-STEM",59
"399",399,3,1,39,81,"STEM",NA
"400",400,3,1,33,149,"not-STEM",68
